firstname,lastname,team,year,pts,minutes
Kareem,Abdul-jabbar,LAL,1975,2275,3379
Hakeem,Olajuwon,HOU,1988,2034,3024
Hakeem,Olajuwon,HOU,1989,1995,3124
Hakeem,Olajuwon,HOU,1992,2140,3242
Kareem,Abdul-jabbar,MIL,1973,2191,3548
Hakeem,Olajuwon,HOU,1990,1187,2062
David,Robinson,SAS,1993,2383,3241
Julius,Erving,VIR,1972,2268,2993
David,Robinson,SAS,1991,1578,2564
Hakeem,Olajuwon,HOU,1993,2184,3277
George,Mcginnis,IND,1974,2353,3193
Michael,Jordan,CHI,1987,2868,3311
Bob,Mcadoo,BUF,1973,2261,3185
Kareem,Abdul-jabbar,MIL,1974,1949,2747
Hakeem,Olajuwon,HOU,1994,2005,2853
Michael,Jordan,CHI,1988,2633,3255
David,Robinson,SAS,1990,2101,3095
Julius,Erving,NYN,1975,2462,3244
Artis,Gilmore,KEN,1971,2003,3666
Kareem,Abdul-jabbar,LAL,1978,1903,3157
